CVC Name,Website,"CVC Description (Based on website, summarized by AI)",Company,Industry,Country
Cavallo Ventures,https://cavallovc.com,"Cavallo Ventures is the corporate venture capital arm of Wilbur-Ellis, a 100-year-old company founded in 1921. Established in 2017, Cavallo Ventures invests in innovative technologies across Wilbur-Ellis' key business divisions, including agriculture, animal health & nutrition, novel ingredients, and specialty chemicals through its Nachurs Alpine Solutions (NAS) division. Cavallo Ventures takes a hands-on approach, acting as active board members and directly involved in setting company strategy, recruiting key executives, and raising additional capital. They aim to provide more than just financial resources, but also deep expertise and market knowledge to enable founders to launch new products and services, run trials, expand, and recruit talent.",Wilbur-Ellis,Food and Agriculture,United States
Cemex Ventures,http://www.cemexventures.com/,"Cemex Ventures is the corporate venture capital (CVC) and open innovation unit of the construction materials company Cemex. Launched in 2017, Cemex Ventures focuses on helping overcome the main challenges and capitalize on the opportunity areas in the construction ecosystem through solutions that consider sustainability. Cemex Ventures has developed an open collaborative platform to lead the revolution of the construction industry, engaging startups, entrepreneurs, universities, and other stakeholders. The company invests in, accelerates, and partners with the most innovative, sustainable, and promising companies to drive the construction industry revolution. Cemex Ventures' priority industries or focus areas are: 1. Green Construction (sustainability), 2. Enhanced Productivity (efficiency), 3. Construction Supply Chain (agility), and 4. Future of Construction (disruption).",Cemex,Industrial,Mexico
Channel 4 Ventures,https://www.channel4ventures.com/,"Channel 4 Ventures is the UK's leading media-for-equity fund. They offer high-potential consumer brands the opportunity to accelerate their growth through TV advertising, in exchange for an equity stake in the business. Channel 4 Ventures reaches 76% of the UK population each month across their portfolio of 12 TV channels and streaming platform. They invest in consumer brands that have the potential to become UK household names, typically taking a small minority stake in companies at the pre-Series A through pre-IPO stages. Their portfolio suggests they focus on consumer-facing brands across a range of sectors, including retail, pharmaceuticals, services, and technology.",Channel 4,Consumer,United Kingdom
Chevron Technology Ventures,https://www.chevron.com/what-we-do/technology-and-innovation/technology-ventures,"Chevron Technology Ventures (CTV) is Chevron's corporate venture capital arm, launched in 1999. CTV's mission is to identify and integrate externally developed technologies and new business solutions that have the potential to enhance the way Chevron produces and delivers affordable, reliable, and ever-cleaner energy.  CTV has two main investment funds: 1. Core Energy Fund: Invests in technologies that have the potential to improve performance in Chevron's core oil and gas business, through operational enhancements, digitalization, and lower-carbon operations. 2. Future Energy Fund: Launched in 2018 and expanded in 2021, this fund focuses on innovations in industrial decarbonization, emerging mobility, energy decentralization, and the circular carbon economy. The goal is to support technologies that can enable a lower-carbon future. Future Energy Fund III, launched in 2024, expands investment in the areas of novel low carbon fuels, advanced materials and transforming carbon to higher-value products. The Future Energy Funds have invested in more than 30 companies with more than 250 other investors in support of low-carbon innovations.",Chevron,Energy,United States
Cisco Investments,http://www.ciscoinvestments.com,"Cisco Investments is the corporate venture capital arm of Cisco, a global leader in networking and technology solutions. For over 30 years, Cisco Investments has invested in and partnered with hundreds of fast-growing technology startups across the globe.  Cisco Investments focuses on several priority industries and technology areas, including mass scale infrastructure, cloud, collaboration, data center networking, enterprise networking, internet of things, IT operations, security, services & customer experience, and silicon & optics. They provide startups not just capital, but also access to Cisco's technology expertise, global customer base, and go-to-market capabilities to help accelerate their growth. With a global presence spanning offices in San Jose, San Francisco, London, Tel Aviv, Bangalore, Hong Kong, Shanghai, and Singapore, Cisco Investments is committed to building a diverse, inclusive, and collaborative technology community focused on driving the next generation of innovation.",Cisco,Technology,United States
Citi Ventures,http://ventures.citi.com,"Citi Ventures is the corporate venture capital arm of Citigroup. Founded in 2008, Citi Ventures invests in innovative startups across six key areas: financial services & technology, data analytics and machine learning, commerce & payments, security & enterprise IT, customer experience & marketing, and property technology. Citi Ventures' mission is to ""ignite change and reimagine solutions that drive economic progress for Citi's clients"" by exploring, incubating, and investing in new ideas in partnership with Citi colleagues, clients, and the broader innovation ecosystem. Citi Ventures has made over 140 investments and has a current active portfolio of over 70 companies.",Citigroup,Finance,United States
CITIC Capital Venture Group,http://www.citiccapital.com/SitePages/private-equity-eng.aspx,"CITIC Capital Venture Group is the corporate venture capital arm of CITIC Capital, a global alternative investment management and advisory company. Established in 2011, the venture group invests in high-growth, small-to-medium-sized enterprises (SMEs) in China. The venture group's priority industries for investment include: high-growth SMEs with technological edge and innovative business models, clean energy, IT and emerging industries, and industries benefiting from China's economic transformation. The venture group not only provides funding to its portfolio companies, but also offers various value-added services such as introducing talent, providing operational suggestions, and helping them find strategic partners.",CITIC Capital,Finance,China
CMA CGM Ventures,https://www.cmacgm-group.com/en/innovation/digital-startup%20support,"CMA CGM Ventures is the corporate venture capital arm of the CMA CGM Group, a leading global container shipping and logistics company. CMA CGM Ventures is an investment fund that supports 10 to 20 startups per year, with a focus on innovative technologies related to the transport, logistics and mobility sectors, as well as industry 4.0 in general. The fund is managed by a worldwide team of Chief Digital Officers who have already invested in startups like Nyshex, a digital marketplace for ocean freight contracts, and e-dray, a collaborative platform to limit port congestion. While the priority industries are not explicitly stated, the information indicates that CMA CGM Ventures invests in technologies such as artificial intelligence, robotics, cybersecurity, blockchain, augmented reality and IoT - all of which can enhance and digitalize the shipping, logistics and transportation industries. The CMA CGM Group also operates an incubator and accelerator program called ZEBOX, which is dedicated to developing startups in these verticals.",CMA CGM Group,Industrial,France
CMPC Ventures,https://www.cmpcventures.com/es-es,"CMPC Ventures is the corporate investment arm of CMPC, a global company with more than 100 years of history in the forestry, pulp, and paper industry. Its main goal is to invest in startups and innovative companies that are developing solutions for the most pressing challenges in the industry.

The investment focus of CMPC Ventures centers on four key areas: circular bioeconomy, Industry 4.0, sustainability, and new materials. They seek startups offering innovative solutions in these areas, with the potential to generate significant impact in the industry and on the environment.

CMPC Ventures offers startups not only capital but also access to CMPC’s expertise and resources. This includes the possibility of conducting pilot tests at CMPC's facilities, access to its global network of customers and suppliers, and the opportunity to scale their solutions internationally.

The company has a flexible approach to investment stages, considering everything from early-stage startups to more established companies. Its goal is to build a diversified portfolio of innovative companies that can contribute to the growth and transformation of CMPC and the industry as a whole.







",CMPC,Resources,Chile
Colopl Next,https://coloplnext.co.jp/en,"Colopl Next is a corporate venture capital company founded in 2015 that invests in startups and publicly listed companies globally. They focus on the B2C/C2C domain, investing in new services, content, and the technologies that create them, based on themes such as the changing world, generational change, and the convergence of the real and virtual. Their priority industries for investment include lifestyle/service (subscription, D2C, C2C, work, health), media/contents (streaming, influencer, game, XR, IP), and emerging technologies (platform, security, AI, blockchain).",Colopl,Technology,Japan
Comcast Ventures,http://www.comcastventures.com,"Comcast Ventures is the venture capital arm of Comcast Corporation, with a 20+ year history of partnering with entrepreneurs to accelerate growth for their businesses. Comcast Ventures backs early to growth stage companies shaping sectors and industries that may define Comcast's next 60+ years, including Data & AI, Enabling Technologies, Energy & Sustainability, Future of Work, Health Tech, and Proptech. Comcast Ventures leverages the expertise, scale, network, and resources of Comcast NBCUniversal as a global technology company to help their portfolio companies accelerate.",Comcast Corporation,Technology,United States
CommerzVentures,https://commerzventures.com/,"CommerzVentures is an independent, return-oriented venture capital firm that focuses on investing in fintech startups. The firm manages €550 million across three funds, indicating a significant capital base for investments. CommerzVentures positions itself as a backer of the best startups in the fintech sector, suggesting a selective approach to their investment strategy.
Despite its name suggesting a connection to Commerzbank, the information provided on the official website emphasizes CommerzVentures' independence as a VC firm. This contradicts the assertion that it is the corporate venture arm of Commerzbank. The firm's self-description as ""independent"" and ""return-oriented"" implies that it operates autonomously and prioritizes financial returns on investments rather than strategic alignment with a parent company.
The firm's focus on fintech indicates a specialized knowledge and interest in financial technology innovations. By targeting the ""best startups"" in this sector, CommerzVentures likely aims to identify and support high-potential companies that could disrupt or enhance the financial services industry.",Commerzbank,Finance,Germany
Constellation Technology Ventures,http://technologyventures.constellation.com/,"Constellation Technology Ventures (CTV) is the venture investing organization within Constellation, the nation's leading clean energy generator and competitive energy provider. CTV invests in companies representing innovative energy technologies and business models, building a portfolio that represents a broad range of development stages and technology types. CTV's priority industries include energy technology and solutions, sustainability and carbon reduction technologies, and data analytics and software platforms for energy management and optimization.",Constellation,Energy,United States
Construct Venture,https://www.constructventure.no,"Construct Venture is a corporate venture investor focused on the construction technology (ConTech) and property technology (PropTech) sectors. Founded in 2018 by Norwegian companies AF Gruppen and OBOS, Construct Venture invests in promising early-stage and growth-stage startups with innovative technologies and solutions, driven by exceptional teams. Their priority industries are ConTech and PropTech, as they aim to contribute to disruption and radical change in the large and significant AEC (architecture, engineering, construction) sector.",AF Gruppen,Industrial,Norway
Convivialité Ventures,https://www.convivialite-ventures.com/,"Convivialité Ventures is the corporate venture capital arm of Pernod Ricard, a global wine and spirits company. Established in 2017, Convivialité Ventures has offices in San Francisco, Paris, Mumbai, and Shanghai, and its mission is to shape the future of socializing and human connection. Convivialité Ventures invests in innovative startups that create new products, services, and experiences to enhance the way people come together, socialize, and entertain. The company is looking to move beyond Pernod Ricard's traditional wine and spirits offerings and invest in a broader ""conviviality"" space, including hospitality, entertainment, and other services that facilitate social experiences and human connection. Some of Convivialité Ventures' priority industries and areas of focus include: hospitality and entertainment experiences, services and technologies that enhance social gatherings and human connection, and innovative products and services that redefine the future of conviviality.",Pernod Ricard,Consumer,France
Covestro Venture Capital,https://www.covestro.com/en/innovation/covestro-venture-capital,"Covestro Venture Capital (COVeC) is the corporate venture capital arm of Covestro, a leading polymer materials company. COVeC's mission is to drive entrepreneurial activities within and adjacent to Covestro's core business by investing in young companies with innovative products, solutions, or business models. The venture capital unit aims to actively support its portfolio companies by leveraging Covestro's established core competencies and adding value to these startups.

COVeC seeks engagements with startups and scale-ups that align with Covestro's focus on making the world a brighter place. The investment strategy involves strategic equity investments, exchange of ideas, joint development agreements, and commercial collaborations. Covestro may invest as a sole minority investor or alongside other strategic and financial investors.

The venture capital arm plays a crucial role in facilitating the success of Covestro's innovation activities. It focuses on ideas that incorporate one or more of Covestro's defined technological focus areas. The collaboration between COVeC and startups offers mutual benefits, including business expertise, market access, networking opportunities, commercial opportunities, funding, access to technical know-how and assets, data, and intellectual property.

Startups interested in partnering with COVeC can contact the Corporate Venturing Capital Managers for an initial evaluation. If the startup aligns with COVeC's investment strategy, they will jointly determine the details of the business collaboration and technical support. Following the signing of a term sheet, an investment due diligence is performed. Upon successful signing of the investment contracts, COVeC and the startup engage in active and continuous cooperation to generate mutual value.",Covestro,Industrial,Germany
CRH Ventures,https://www.crhventures.com/,"CRH Ventures is the Venture Capital arm of CRH, the world’s leading building materials business and a Fortune 500 and FTSE 100 Company. They invest and partner with pioneering ConTech and ClimateTech startups to develop solutions that make our industry safer, smarter, more efficient, and sustainable.",CRH,Industrial,Ireland
Crowley Ventures,https://www.crowley.com,"Crowley Ventures is the corporate venture arm of Crowley, a leading provider of logistics, government, marine, wind, and energy solutions. Crowley Ventures is focused on executing acquisitions, divestitures, and minority/growth investments across Crowley's five main business units. Crowley Ventures is specifically targeting M&A opportunities and minority growth opportunities in the following priority industries: 1) Digitally-Enabled Logistics Companies, 2) Fleet Decarbonization Companies, 3) Green Supply Chain Companies, and 4) Government Services Companies.",Crowley,Energy,United States
CSN Inova Ventures,https://www.csninova.com.br/,"CSN Inova Ventures is the corporate venture capital (CVC) arm of CSN Inova, the innovation platform of the CSN Group. CSN Inova Ventures invests in disruptive technologies with high growth potential that enable the transition of traditional industries to a smarter, more connected and sustainable future. They focus on investing in companies at the Seed, Series A, and Series B stages that have business models aligned with their three key investment verticals: ESG Transition, Industry of the Future, and Corporate and New Businesses.",CSN Group,Industrial,Brazil
Cultivate Next,"https://newsroom.chipotle.com/2024-02-28-CHIPOTLE-DOUBLES-ITS-COMMITMENT-TO-THE-CULTIVATE-NEXT-VENTURE-FUND-TO-100-MILLION,-MARKING-ITS-TWO-YEAR-ANNIVERSARY","Chipotle's corporate venture company is called Cultivate Next. Cultivate Next is a $100 million venture capital fund that invests in seed to Series B stage companies that can accelerate Chipotle's strategic priorities. The priority industries that Cultivate Next invests in include supply chain, agriculture, restaurant innovation, automation, food products, restaurants and bars.",Chipotle,Food and Agriculture,United States
Danone Manifesto Ventures,https://www.danoneventures.com/,"We are a corporate venture group located in New York City and Paris that is part of a global food and beverage company with a unique manifesto and world-class expertise and resources. Together with our portfolio companies, we aim to create a healthy and sustainable future of food.
",Danone,Food and Agriculture,France
Decarbonisation Ventures,https://www.angloamerican.com/products/marketing-materials-solutions-for-our-customers/decarbonisation-ventures,"Anglo American's Decarbonisation Ventures is a corporate venture capital team that supports climate positive innovations for rapid and sustainable decarbonisation. They pursue multiple avenues including investing in existing ventures, building new companies, accelerating decarbonisation through partnerships, and engaging as thought leaders.

Their priority industries for investment include:
- Sustainable Materials: Developing new materials solutions and enabling new approaches to materials recycling, with a focus on decarbonising existing value chains like steel.
- Clean Energy: Supporting clean energy generation and usage beyond wind and solar, as well as energy storage solutions.
- Carbon and Nature: Supporting emissions removal technology, carbon markets, and technologies for protecting and restoring biodiversity and natural capital.
- Methane and Agriculture: Supporting new technologies to mitigate emissions from fossil fuels, waste, water, and agriculture.",Anglo American,Resources,United Kingdom
Deepcore,https://deepcore.jp/,"Deepcore is a venture capital firm and startup incubator based in Japan. The company focuses on investing in and nurturing deep tech startups, particularly those working in artificial intelligence. Deepcore operates an incubation program called KERNEL, which provides support to early-stage startups through mentorship, networking opportunities, and access to resources.
The firm's investment strategy targets seed to early-stage startups, with a particular emphasis on those developing foundational technologies in AI. Deepcore aims to create an ecosystem that fosters innovation and collaboration between startups, academia, and industry partners.
Deepcore's portfolio includes companies working on various AI applications, such as computer vision, natural language processing, and robotics. The firm also organizes events and initiatives to promote knowledge sharing and community building within the AI and deep tech sectors.",Softbank,Technology,Japan
Dell Technologies Capital,https://www.delltechnologiescapital.com,"Dell Technologies Capital is a corporate venture capital firm that was founded in 2012 and is based in Palo Alto, California. They have invested over $1.6 billion in more than 100 companies since their founding. Dell Technologies Capital prefers to invest in the following priority industries: cybersecurity, silicon, infrastructure, data & analytics, developer tools, edge & logistics, enterprise solutions, software-as-a-service solutions, applications & services, artificial intelligence, and machine learning.",Dell Technologies,Technology,United States
Denso Corporate Ventures,https://densocvc.com/,"DENSO Corporate Venture Capital (CVC) is the investment arm of DENSO, a global Fortune 500 company and advanced mobility supplier. Established in 2014, DENSO CVC focuses on investing in startups and university spinouts working on innovative technologies and business models in the automotive, transportation, and mobility industries.
As a strategic investor, DENSO CVC prioritizes helping startups with technology development and building business relationships over financial returns. The team targets early-stage companies, primarily from Seed stage to Series B, and is open to taking on the Lead Investor role. DENSO CVC's investment terms are designed to be startup-friendly, with the ultimate goal of helping their portfolio companies succeed.
DENSO CVC's investment focus spans several key technology categories, including Advanced Materials, Autonomous Driving, Connected Vehicles, Cybersecurity, Electrification, New Mobility, Next Gen Manufacturing, and Robotics. By investing in these areas, DENSO aims to accelerate the introduction of innovative technologies into the automotive and transportation industries.
The CVC team operates globally, searching for strategically impactful startup companies that align with DENSO's vision of using technology to address societal challenges and improve well-being, peace of mind, joy, and balance in the world. Through these investments and partnerships, DENSO leverages both internal research and external collaborations to create cutting-edge solutions for the future of transportation.",Denso,Automotive,Japan
Deutsche Bank Corporate Venture Capital,https://www.db.com/what-we-do/focus-topics/corporate-venture-capital,"Deutsche Bank Corporate Venture Capital (CVC) is a global initiative that supports startups and entrepreneurs in shaping the future of financial services. The program operates across three main dimensions: invest, create & incubate, and grow.
In its investment role, Deutsche Bank CVC commits capital, time, and resources to startups and entrepreneurs worldwide. The team explores new businesses and emerging technologies to drive growth in financial services. They also work with Entrepreneurs-in-Residence to research and incubate transformational ideas and businesses, aiming to create independent entities based on strategic and innovative topics that will revolutionize financial services.
Deutsche Bank is committed to driving growth for its portfolio companies through active business development. Each portfolio company is assigned a dedicated manager who supports their partnership with Deutsche Bank, provides access to subject matter experts, and helps scale their solution within the bank or externally. Portfolio companies also gain access to exclusive Deutsche Bank CVC events, networking opportunities, and key ecosystem players.
The CVC program advances Deutsche Bank's commitment to technology and innovation by focusing on strategic investments in companies that use technology to support or enable banking and financial services, as well as enterprise technology solutions that support their business. Through this program, Deutsche Bank aims to unlock strategic, financial, and technological ROI by aligning portfolio companies with the bank's long-term objectives.
Deutsche Bank CVC offers strong expertise in financial services, leveraging the bank's global experience in providing banking services to various clients. This partnership enables access to industry specialists and relevant expertise. The bank not only invests in companies but also offers active business development support and opportunities for technology adoption within the organization.
As a leading European Corporate Bank with a global reach, Deutsche Bank CVC can help businesses grow globally, leveraging its strong presence in Europe's largest economy and its capabilities in investment banking, private banking, wealth, and asset management.",Deutsche Bank,Finance,Germany
Devon Energy Ventures,https://www.linkedin.com/pulse/powering-future-our-first-year-corporate-venture-kyle-haustveit-p-e-/,"Devon Energy Ventures is the corporate venture arm of Devon Energy, established in 2022. The venture arm focuses on investing in early and growth-stage companies that align with Devon's strategic priorities in the energy sector. These priorities include reducing emissions, improving operational efficiency, and enhancing the company's environmental performance.
In its first year of operation, Devon Energy Ventures made investments in various companies across different technology areas. These investments included Validere, a company specializing in commodity management software for the oil and gas industry, and Sympower, a firm that provides demand response and virtual power plant services. The venture arm also invested in Kelvin, which offers artificial intelligence solutions for industrial process optimization.
Devon Energy Ventures takes a collaborative approach to its investments, working closely with portfolio companies to accelerate their growth and development. The venture arm provides not only capital but also access to Devon's expertise, assets, and network within the energy industry. This strategy aims to create mutual value for both Devon Energy and the companies in which it invests.
The venture arm's investment focus extends beyond traditional oil and gas technologies. It seeks opportunities in areas such as emissions reduction, electrification, industrial automation, and digital transformation. This diverse investment approach reflects Devon Energy's commitment to adapting to the changing energy landscape and embracing innovative solutions.",Devon Energy,Energy,United States
Diamond Edge Ventures,https://diamondedgeventures.com/,"Diamond Edge Ventures (DEV) is the corporate venture arm of Mitsubishi Chemical Group, focusing on investing in technology companies that have the potential to transform the group's core markets and future businesses. DEV's investment strategy spans across several key areas, including electric vehicle and mobility, advanced and lightweight materials, polymers, films, coatings, electronics, sensors, display, semiconductor, health and medical devices, food ingredients and packaging, green materials, recycling, renewable energy, and advanced manufacturing.
The venture firm provides value to its portfolio companies through pathways to co-development and commercialization with Mitsubishi Chemical Group business units. This approach allows for synergistic relationships between the invested startups and the parent company's extensive resources and market presence.
DEV's investment team is led by Curtis, who joined as President in 2022, bringing experience from Climate Investment and Constellation Technology Ventures. The team also includes Naveed as Investment Director, who has a background in venture commercialization within Mitsubishi Chemical Group and other Japanese chemical companies.
A unique aspect of DEV's structure is its Commercialization Team, composed of Mitsubishi Chemical Group employees who act as liaisons between DEV investments and MCG businesses. This team brings diverse expertise in areas such as EV battery thermal management, storage media development, medical devices, IT, sustainability, and cleantech.
DEV's portfolio showcases a range of innovative companies across various sectors. These include firms specializing in additive manufacturing for injection mold tooling, alternative proteins and plant-based meat, holographic waveguide displays for XR lenses, GaN-based low power RF technology for 5G infrastructures, analytics and process optimization for polymer manufacturers, milk protein-based biodegradable polymers, natural fiber composites, chemically defined cell culture media for regenerative medicine, plant-based deli meats, and carbon fiber recycling. The portfolio companies are based in diverse locations, including Japan, the United States, and France, reflecting DEV's global investment approach.",Mitsubishi Chemical Group,Technology,Japan
DK Innovation,https://www.linkedin.com/company/dkinnovation/about/,"DK Innovation operates as the corporate venture arm of Delek US, focusing on investments in early and growth-stage companies within the energy and transportation sectors. The company's primary objective is to drive innovation and create value for Delek US by identifying and supporting promising technologies and business models.
The company's investment strategy targets startups that align with Delek's core business areas, including renewable fuels, electric vehicle charging, hydrogen, carbon capture, and artificial intelligence applications in energy and transportation.
DK Innovation aims to leverage Delek's extensive assets and industry expertise to accelerate the growth of its portfolio companies. The venture arm seeks to establish strategic partnerships that can benefit both the startups and Delek US, fostering collaboration and innovation within the energy and transportation ecosystems.",Delek US,Energy,United States
DNB Ventures,https://www.dnb.no/,"DNB Ventures is the corporate venture capital arm of the Norwegian DNB group, Norway's largest financial services group. DNB Ventures invests in promising start-ups in the Nordic region that have a confirmed business model and paying customers, primarily in the financial sector. They have a NOK 250 million investment pool and typically take minority ownership stakes of 10-20%.",DNB group,Finance,Norway
Doral Energy-Tech Ventures,https://doral-tech.com,"Doral Energy-Tech Ventures is the corporate venture capital, technology and innovation arm of the Doral Renewable Energy Group. It was founded to embody Doral's commitment to pioneering the transition towards a sustainable future. Doral Energy-Tech Ventures' focus is threefold: 1) Investing in cutting-edge technologies and entrepreneurs that align with Doral's core business activities, 2) Investing in exceptional endeavors that will bring outsized returns, and 3) Nurturing global startups poised to make significant strides in decarbonizing the planet. Doral Energy-Tech Ventures' priority industries include renewable energy, energy storage, green hydrogen, sustainable aviation and shipping fuels, battery recycling, and other clean technology solutions",Doral Renewable Energy Group,Energy,Israel
DSM-Firminech Venturing,https://www.venturing.dsm.com,"DSM Venturing is the corporate venture capital arm of DSM, a global science-based and purpose-led company. Since 2001, they have invested in over 100 startups working to tackle the world's toughest challenges. DSM Venturing provides funding, coaching, and support to startups that will transform health, nutrition, and bioscience.

Their priority industries for investment include:
- Health, Nutrition and Care
- Animal Nutrition & Health
- Taste, Texture & Health

DSM Venturing is especially active in North America and Europe, and also looks to engage with startups in digital and tech models that can help explore personalization and precision.",DSM,Industrial,Netherlands
DTCP,https://www.dtcp.capital,"DTCP is an independent investment management firm that focuses on two main investment strategies: Growth Equity and Digital Infrastructure. Through their Growth Equity strategy, DTCP invests in transformative technology leaders globally. Their Digital Infrastructure strategy involves investing in digital infrastructure assets like data centers, fiber networks, and mobile access sites. Based on this, DTCP's priority industries appear to be technology, digital infrastructure, and telecommunications. DTCP was spun out of Deutsche Telekom in 2015. With Deutsche Telekom as an anchor investor, DTCP retains a close partnership and supports T.Capital, the corporate venture capital arm of Deutsche Telekom",Deutsche Telekom,Finance,Germany
DuPont Ventures,https://www.dupont.com/news/dupont-mobilizes-covid-19-response/dupont-ventures.html,"DuPont Ventures represents a new era of discovery for DuPont, a company with over 200 years of innovation history. The venture arm collaborates with startups to transform possibilities into real-world solutions that benefit humanity. Their team works closely with external investor groups, entrepreneurial companies, and DuPont business teams to determine optimal investment and partnership strategies.
The leadership of DuPont Ventures includes Frank Klemens as Managing Director, Moe Rinkunas as Principal, and Greg Hoffman as External Program Manager. The organization aims to support entrepreneurs in bringing innovative solutions to market more rapidly by leveraging DuPont's global expertise in science, engineering, and manufacturing to accelerate commercialization.
DuPont Ventures emphasizes its commitment to celebrating the entrepreneurial spirit and seeks to assist those with promising business opportunities. They utilize their extensive industry relationships to help partners enter the market successfully. The ultimate goal of DuPont Ventures is to deliver solutions that make a meaningful difference for their customers and the world at large, working in collaboration with innovative startups and entrepreneurs.",DuPont,Industrial,United States
EDF Pulse,https://www.edf.fr/en/pulse/ventures,"EDF Pulse Ventures is the corporate venture capital arm of the EDF Group, focused on identifying and investing in innovative startups committed to building a low-carbon future. The fund primarily supports cleantech startups in the energy transition sector, targeting Series A and B funding rounds. EDF Pulse Ventures takes minority stakes in these companies and concentrates its investments in Europe and North America.
The venture arm offers several benefits to startups in its portfolio, including potential commercial partnerships with EDF subsidiaries and other cleantech startups, support from EDF's internationally recognized R&D, and strategic guidance to anticipate market opportunities and new business models. As a shareholder, EDF Pulse Ventures provides capital contributions without predefined duration and actively participates in the governance and management support of its portfolio companies.
EDF Pulse Ventures focuses on ten priority investment areas: carbon and its value chain, new renewable energies, water management, skills and attractiveness of energy transition professions, long-term energy storage, biodiversity, decarbonization and electrification of industrial processes, nuclear power, decentralized energies, and flexibility management.
Since its inception in 2017, EDF Pulse Ventures has invested approximately 500 million euros across 22 startups. The fund also collaborates with 16 venture capital fund partners, further expanding its reach and impact in the cleantech startup ecosystem.",EDF (Électricité de France),Energy,France
EDP Ventures,https://www.edpventures.vc/,"EDP Ventures is the corporate venture capital arm of EDP - Energias de Portugal, S.A. Founded in 2008 and headquartered in Lisbon, Portugal, EDP Ventures' main goal is to support and stimulate the open innovation process in the energy sector. The firm invests in early-stage tech startups working in the energy space and willing to impact the life of millions of people. EDP Ventures' priority investment areas include renewable energy sources, energy storage and flexibility, grid, mobility, distributed energy resources, energy usage decarbonization, green hydrogen, and AI & digital","EDP - Energias de Portugal, S.A.",Energy,Portugal
Emerson Ventures,https://www.emerson.com/en-us/about-us/ventures,"Emerson Ventures is Emerson's corporate venture capital initiative that advances sustainable, emerging industrial technologies through venture capital investment. Through its investments, Emerson Ventures accelerates innovation by obtaining early access to disruptive discrete automation solutions, environmentally sustainable technologies, and industrial software solutions that have the potential to solve real customer challenges. The key priority industries that Emerson Ventures invests in include discrete automation solutions, environmental sustainability technologies, and industrial software.",Emerson,Industrial,United States
EnBW New Ventures,https://www.env.vc,"EnBW New Ventures is the corporate venture capital arm of the German energy company EnBW Energie Baden-Württemberg AG. They invest in European startups that are enabling the infrastructure of the future, with a focus on sustainability, carbon management, battery solutions, charging solutions, and cybersecurity.",EnBW Energie Baden-Württemberg AG,Energy,Germany
Endeavor Catalyst,https://endeavor.org/catalyst/,"Endeavor Catalyst is the corporate venture capital arm of Endeavor Global, a nonprofit organization that supports high-impact entrepreneurs around the world. Founded in 2012 and headquartered in New York, Endeavor Catalyst invests exclusively in companies led by Endeavor Entrepreneurs, which are high-impact entrepreneurs supported by Endeavor's global network. Endeavor Catalyst's priority industries include agriculture, education & talent, enterprise software & services, fintech, food & beverage, healthcare, retail & consumer technology, and smart city & climate. The fund has over $500 million in assets under management and has made over 300 investments across 37+ markets, including 50+ companies valued at $1 billion or more and 24 exits to date.",Endeavor Global,Consumer,United States
Eneco Ventures,https://www.eneco.com/what-we-do/ventures/,"Eneco Ventures is the corporate venture capital arm of Eneco Group, a leading sustainable energy company based in the Netherlands. Eneco Ventures focuses on investing in early-stage startups and scale-ups that are accelerating the energy transition. Eneco Ventures' priority industries include companies providing smart solutions, services, and/or software that positively impact the energy transition, with a focus on areas such as energy as a service, e-mobility, and heat and energy management. They look for startups that have proven product-market fit and visible commercial traction, with an entrepreneurial and highly motivated management team, and typically invest entry tickets of around EUR 2M - EUR 6M. Eneco Ventures aims to leverage Eneco's extensive customer base, assets, and infrastructure to help the startups scale.",Eneco Group,Energy,Netherlands
Eneos Innovation Partners,https://eneos-innovation.co.jp/english,"Eneos Innovation Partners is the corporate venture capital arm of Eneos Holdings, Inc., a major Japanese energy company. The venture arm focuses on investing in startups and technologies that align with Eneos' strategic priorities. These priorities include carbon neutrality, circular economy, and next-generation energy supply chains.
The organization operates globally, with offices in Tokyo, Silicon Valley, and Boston. It aims to drive innovation and create new business opportunities through strategic investments and partnerships. Eneos Innovation Partners invests across various stages, from seed to late-stage companies, with typical investment sizes ranging from $1 million to $10 million.
The venture arm's investment portfolio spans multiple sectors, including renewable energy, advanced materials, mobility, digital technologies, and life sciences. Some of the specific areas of interest include hydrogen-related technologies, battery materials, carbon capture and utilization, biofuels, and artificial intelligence applications in the energy sector.
Eneos Innovation Partners not only provides financial support but also offers strategic value to its portfolio companies. This includes access to Eneos' extensive resources, industry expertise, and potential business collaborations within the Eneos group of companies.",Eneos,Energy,Japan
Energy Transition Investments (ETI),https://www.rwe.com/en/products-and-services/energy-transition-investments,"RWE's corporate venture company, Energy Transition Investments (ETI), was established in 2011 and has a global mandate to develop a profitable portfolio of Private Equity investments that support the global energy transition. While the website does not explicitly state the priority industries that ETI invests in, it can be inferred that the company likely focuses on industries and companies aligned with the energy transition, such as renewable energy technologies, energy storage, hydrogen, and other clean energy solutions.",RWE,Energy,Germany
ENGIE New Ventures,http://www.engieventures.com,"ENGIE New Ventures (ENV) is the corporate venture arm of the global energy provider ENGIE. Founded in 2014, ENV manages a +€250 million fund to make minority investments in technology startups that are poised to scale their innovations and business models around the world. ENV's mission is to digitize, decarbonize and decentralize the energy sector, and its priority industries for investment include cleantech, renewable energy, energy storage, energy efficiency, hydrogen, sustainable mobility, waste-to-energy, and digital technologies for the energy sector",ENGIE,Energy,France
