Source,Page,Category,Climate Problem,Solution Name,Technologies,Description
"Los Angeles, California",3,Not categorized (ensure taxonomy match),Post-disaster recovery,Increased technology and data for situational awareness,"""Equip government with technology and data to increase situational awareness and expedite post-disaster recovery.""","The solution involves equipping government entities with advanced technology and data systems that enhance their situational awareness capabilities and allow for quicker responses after a disaster. This could include the use of software applications for data analysis, real-time communication tools, or integrated sensor networks for monitoring disaster impacts."
"Los Angeles, California",8,Not categorized (ensure taxonomy match),Energy resilience under climate impacts,Modernized power grid,"Smart grid technology, renewable energy integration systems, energy storage systems","The investment in the modernization of the power grid involves enhancing the technological infrastructure to ""expand renewable energy to 65% of our power source by 2036 while deepening storage capacity and broadening emergency backup systems."" This indicates the deployment of smart grid technologies to improve energy management and resilience."
"Los Angeles, California",14,Not categorized (ensure taxonomy match),Earthquake preparedness and response,ShakeAlert portal,"""earthquake early warning technology,"" ""smartphones,"" ""desktops,"" ""notification systems such as public address systems,"" ""earthquake early warning sensors""","The ShakeAlert portal is being developed in partnership with the USGS to integrate earthquake early warning technology into city systems. This technology allows for rapid communication to residents via smartphones, desktops, and public address systems, enhancing the city's ability to warn and inform citizens of impending seismic activities."
"Los Angeles, California",17,Not categorized (ensure taxonomy match),Preparedness for earthquakes and resilience during hazardous events,Earthquake early warning system,Earthquake early warning system,"The solution incorporates ""new technologies, including an earthquake early warning system,"" which is essential for improving coordination and public education on emergency preparedness. This system allows for monitoring seismic activity and providing alerts to residents before the shaking begins, enabling them to take protective actions."
"Los Angeles, California",19,Not categorized (ensure taxonomy match),Response to sudden cardiac events during emergencies,PulsePoint app,"""PulsePoint Foundation,"" ""smartphone app,"" ""CPR guidance""",The PulsePoint app increases citizen awareness of cardiac events by alerting trained individuals when a cardiac arrest occurs nearby. The app directs users to the location of the incident and provides CPR guidance while paramedics are en route. This technology supports first responders by involving citizens in potentially life-saving actions during emergencies.
"Los Angeles, California",22,Not categorized (ensure taxonomy match),Housing for displaced animals during disasters,Remote Shelter Activation System,"Remote shelter setup coordination, digital communication systems",This system involves the setup of remote shelters that can be activated in response to disasters. The shelters are coordinated with digital communication with Los Angeles County Animal Control and other bodies to ensure capacity and location readiness. It incorporates technological organization of shelter availability and logistics to manage animal intake effectively.
"Los Angeles, California",24,Not categorized (ensure taxonomy match),"Technology disparities that hinder access to crucial information before, during, and after disasters",Expanded wireless internet access,"Wireless internet, digital applications, public Wi-Fi infrastructure","The City of Los Angeles aims to expand wireless internet access, particularly to reach vulnerable populations. This includes “developing applications for both everyday and post-disaster use.” The focus is on utilizing digital infrastructure to provide reliable communication and access to critical resources during climate-related emergencies. The technological aspect includes building upon existing efforts to ensure high-speed internet availability in key public spaces."
"Los Angeles, California",27,Not categorized (ensure taxonomy match),Seismic risks and preparedness,Community Seismic Network,Seismic sensors,"The Community Seismic Network allows citizens to partake in activities such as building a seismic sensor. This hands-on participation implies a technological setup where community members can learn about and create seismic sensors to monitor seismic activity, contributing to disaster preparedness."
"Los Angeles, California",31,Not categorized (ensure taxonomy match),Access to disaster preparedness information and resources,Online Resilience Resource Hub,Online platform/website.,"An “Online Resilience Resource Hub” will serve as a digital platform providing resilience-related information such as disaster preparedness tips and links to workforce development programs. This centralized digital system enhances accessibility to vital resources, thereby helping communities to be better prepared for climate-related risks."
"Los Angeles, California",32,Not categorized (ensure taxonomy match),Disaster preparedness and carbon footprint reduction,COOL BLOCKS,No specific technologies are mentioned.,"Cool Blocks is an action-based program that ""informs Angelenos of actions they can take to improve disaster preparedness, adopt water stewardship practices, and reduce their carbon footprints."" The program integrates partnerships with local councils and involves specific actions facilitated through a structured initiative, indicating a systemic use of communication and engagement technology."
"Los Angeles, California",36,Not categorized (ensure taxonomy match),Increasing extreme heat and its impacts on vulnerable populations,Urban Heat Vulnerability Index and Mitigation Plan,"Digital mapping systems, stakeholder engagement tools, data analysis systems.","The Urban Heat Vulnerability Index and Mitigation Plan aims to develop a framework that includes a ""neighborhood prioritization framework,"" which suggests the incorporation of data and possibly digital mapping systems to analyze areas most susceptible to high heat. The plan is intended to be informed by stakeholder engagement that can leverage data on heat-related health risks and thus necessitates the use of information systems for outreach planning and interventional strategies, especially on high-heat days."
"Los Angeles, California",37,Not categorized (ensure taxonomy match),Urban heat island effect,Cool Pavement Pilot,"Cool pavement materials, monitoring systems for surface temperatures","Los Angeles has initiated a pilot program to lay down ""cool pavements,"" which are designed to reflect more sunlight and absorb less heat. This technology aims to reduce surface temperatures and combat the urban heat island effect."
"Los Angeles, California",39,Not categorized (ensure taxonomy match),Rising temperatures and urban heat island effect,Cooling Center Program,"Real estate asset-management system, digital criteria evaluation system","The City of Los Angeles is enhancing its cooling center program by utilizing ""the City’s real estate asset-management system"" to evaluate heat vulnerability and prioritize access to cooling centers during heatwaves. This digital platform will analyze ""updated criteria—including facility amenities, proximity to transit, and other services,"" enabling more efficient and targeted responses to extreme heat situations."
"Los Angeles, California",45,Not categorized (ensure taxonomy match),Urban resilience against climate-related shocks and stresses,City Resilience Index,City Resilience Index (digital tool/system),"The City Resilience Index is a comprehensive tool used by Los Angeles to measure the city's resilience systematically. It provides a holistic baseline understanding that allows the city to track resilience outcomes, the implementation of resilience strategies, and the ongoing institutionalization of resilience within city services. The integration of this technical tool facilitates data-driven decisions and actions to improve the city's capacity to adapt and respond to climate impacts."
"Los Angeles, California",46,Not categorized (ensure taxonomy match),Mitigating the effects of climate change through urban planning.,Climate-Smart Cities Tool,"Climate-Smart Cities tool, GeoHub, Open Data portal, geo-coded data and mapping technologies.","The Trust for Public Land's Climate-Smart Cities tool for Los Angeles employs city data to pinpoint strategies for integrating green infrastructure and open spaces to combat climate impacts. The tool is designed to work with the city’s GeoHub and Open Data portal, enhancing its functionality through data access and visualization, and targeting climate mitigation efforts to specific neighborhoods."
"Los Angeles, California",48,Not categorized (ensure taxonomy match),Understanding health disparities related to climate impacts,Health Atlas,"Digital data visualization tools, geographic information systems (GIS)","Los Angeles’ Health Atlas compiles high-level data on various disparities such as health and education. This digital resource enables the city to visualize and analyze the inequalities faced by different populations, which is crucial for informing resilience initiatives. The data can guide target interventions in vulnerable communities by providing accessible information on health-related impacts influenced by climate change."
"Los Angeles, California",49,Not categorized (ensure taxonomy match),"Threats from multiple hazards, including earthquakes, drought, heat, and flooding",Building Forward L.A.,No specific technologies mentioned,"Although more general in nature, Building Forward L.A. integrates advances in ""design, engineering, and construction"" to create buildings that can withstand various environmental stresses. The program leverages collaborative participatory research and design, through which stakeholders and experts provide input, but lacks specific technological elements outlined in the content."
"Los Angeles, California",50,Not categorized (ensure taxonomy match),Situational awareness for emergency response,Citywide Data Integration Systems,"Data integration platforms, situational awareness systems, predictive modeling systems","""The City will work with public safety officials and spatial analysts to develop a platform that facilitates situational awareness and communications between key City departments and partner agencies."" This aims to increase preparedness and response during emergencies by integrating various data for predictive modeling."
"Los Angeles, California",53,Not categorized (ensure taxonomy match),Delays in post-disaster housing solutions,Regional Disaster Housing Planning Project,Regional Disaster Housing Planning Project (implied use of digital systems for planning and resource allocation),"The City will develop a community-based post-disaster housing plan that builds on best practices from the Regional Disaster Housing Planning Project, which introduced ""resources to support local jurisdictions in developing disaster housing plans."" This project likely includes technological components for data collection and planning that help streamline the process of providing housing after disasters."
"Los Angeles, California",54,Not categorized (ensure taxonomy match),Vulnerability of water sources to earthquake threats,Seismic Mitigation Alternatives for the L.A. Aqueduct and Elizabeth Tunnel,"""Studies to identify and develop mitigation alternatives,"" ""seismic vulnerabilities from San Andreas Fault events""","The City will conduct studies to develop seismic mitigation alternatives for the Elizabeth Tunnel to protect water flow from the L.A. Aqueduct, which crosses the San Andreas Fault. This involves assessing vulnerabilities and planning interventions using seismic modeling and simulations."
"Los Angeles, California",55,Not categorized (ensure taxonomy match),Structural vulnerability of city buildings during earthquakes,Implement a Seismic Safety Rating System for City buildings,"""asset management program""","This initiative incorporates advancements in seismic building rating systems through a new asset management program, which serves as a technological tool for assessing and improving the city’s buildings against earthquake risks, further strengthening infrastructure resilience."
"Los Angeles, California",56,Not categorized (ensure taxonomy match),Preparing for extreme weather events associated with climate change.,Investment in water system infrastructure improvements,No specific technologies mentioned.,"LADWP plans to invest in ""water system infrastructure improvements, including local water supply development projects."" Although specific technologies are not mentioned directly, such projects typically involve modern monitoring systems, water quality sensors, and automated distribution networks for efficient resource management."
"Los Angeles, California",59,Not categorized (ensure taxonomy match),Vulnerability of the power grid to climate impacts and reliance on fossil fuels,Clean energy and smart grid infrastructure,"Solar technology, energy storage systems, smart grid infrastructure, microgrids, vehicle-to-grid integration.","The City of Los Angeles is transitioning to a clean energy supply by planning solar and energy storage pilots, aiming to modernize the existing power grid infrastructure. This includes integrating new technologies, renewable energy resources, energy storage, and expanding microgrid activities to enhance resilience and maintain a reliable energy supply in the face of climate hazards. The initiative involves partnership with researchers and laboratories to conduct assessments and model the impacts of climate stressors on power infrastructure, thereby guiding investments in smart, dynamic, and clean power systems."
"Los Angeles, California",60,Not categorized (ensure taxonomy match),Emissions reduction and operational disruption during emergencies,"Expand Electric Fleets, Charging Infrastructure, and Energy Backup","Electric vehicles (EVs), electric buses, solar photovoltaic systems, energy storage systems, charging infrastructure.","The city is investing in expanding its electric vehicle (EV) fleet, electric buses, and their corresponding charging infrastructure. The project aims to co-locate energy resilience projects like solar photovoltaic systems and microgrids, which serve as backup power sources to keep services running after disruptions. This includes enhancing the operational capacity of response services during OEM situations, demonstrated by the inclusion of battery backup systems at a downtown electric bus charging depot."
"Los Angeles, California",61,Not categorized (ensure taxonomy match),Potential methane gas leaks and infrastructure vulnerabilities,Framework to assess oil and gas infrastructure vulnerabilities,"Digital systems for infrastructure data integration, vulnerability assessment framework","The City plans to develop a “framework to assess the vulnerability of the City’s infrastructure systems” to understand risks associated with “methane gas leaks from existing old and abandoned oil and gas wells and petroleum pipelines” as well as the impact of extreme weather events. This framework includes digital systems to integrate local oil and gas infrastructure data for citywide vulnerability assessments, which is expected to guide collaboration and prioritize mitigation actions with technical partners."
"Los Angeles, California",65,Not categorized (ensure taxonomy match),Harmful air emissions and greenhouse gas emissions from port-related sources,Clean Air Action Plan (CAAP) Update,"""zero- emissions equipment"", ""near-zero emissions vehicles""","The 2017 CAAP outlines measures for eliminating harmful air emissions and reducing greenhouse gases, which includes transitioning to near-zero and zero-emission trucks. The plan recommends the necessary infrastructure for these technologies and mandates the use of zero-emissions equipment by terminal operators if feasible."
"Los Angeles, California",66,Not categorized (ensure taxonomy match),Air pollution and greenhouse gas emissions from transportation,Electric Vehicle Fleets,"Electric buses, electric vehicle infrastructure, fleet management software","The City of Los Angeles is implementing ""zero emissions technology"" through the procurement of zero-emission buses and the building of one of the largest municipal electric vehicle fleets. This involves the use of electric vehicle (EV) technology, enabling the city to electrify public transportation and improve air quality. The planning and execution of this transition rely on an electric vehicle infrastructure, including charging stations and fleet management systems."
"Los Angeles, California",72,Not categorized (ensure taxonomy match),Health impacts during disasters and extreme climate events,Nurse Practitioner Response Unit (NPRU),"Point-of-care testing systems, ambulance hardware, health information technology for patient referrals.","The NPRU is a technology-enabled solution that comprises a converted ambulance equipped with ""modern point-of-care testing and patient referral capabilities."" It utilizes a combination of healthcare technology and trained personnel to provide immediate care during emergencies, promoting community health and reducing the burden on emergency services. The unit's ability to autonomously treat and release patients directly addresses health disparities during critical climate-related incidents."
"Los Angeles, California",73,Not categorized (ensure taxonomy match),Earthquakes and their related impacts,Earthquake Early Warning System,"""earthquake early warning technologies,"" ""ShakeAlert portal,"" ""smartphones,"" ""desktops,"" ""notification systems,"" ""public address systems,"" ""earthquake early warning sensors.""","The City of Los Angeles is developing an earthquake early warning system that will provide advance notification of earthquakes through various digital platforms. This system will utilize integration with city communication systems to rapidly inform residents through their smartphones, desktops, and public notification systems. The initiative includes the creation of a ShakeAlert portal and a technology developer program to further enhance communication capabilities."
"Los Angeles, California",76,Not categorized (ensure taxonomy match),Enhancing decision-making and information transparency,Information coordination platform in Medellin,"Information management platform, data sharing systems","Medellin's ""Agency for the Management and Integration of Information is coordinating and sharing information through a single platform,"" indicating the use of a digital platform for managing and disseminating information to support decision-making related to climate resilience."
"Los Angeles, California",81,Not categorized (ensure taxonomy match),Cybersecurity risks in infrastructure,Facilitate partnerships with Los Angeles businesses through the L.A. Cyberlab,"Cybersecurity platform, monitoring systems","This action involves the use of the ""L.A. Cyberlab, our cybersecurity platform,"" which is focused on enhancing cybersecurity measures for critical infrastructure. This involves employing technical systems, likely including firewalls, monitoring software, and collaborative tools that enable businesses to mitigate cybersecurity risks related to climate-related threats."
"Los Angeles, California",82,Not categorized (ensure taxonomy match),Pollution and local water supply issues during extreme weather events,Stormwater Projects,"""Implement stormwater projects that reduce pollution and capture local water supply"" (implies monitoring and capture systems).",Implementing stormwater projects that utilize monitoring systems and capture technology to reduce pollution and manage local water supply in times of heavy rain. Technologies can include sensors to monitor water quality and automated systems for water capture and treatment.
"Los Angeles, California",83,Not categorized (ensure taxonomy match),Mental health impact following major shocks,Trauma Resources Accessibility,"""access to additional trauma resources"" (implies potential use of online platforms)","While not explicitly detailed, the provision for accessing trauma resources indicates a potential use of digital platforms that could link individuals in need of support with counseling and immediate resources via technological means."
"Los Angeles, California",86,Not categorized (ensure taxonomy match),Energy resilience during climate events,Combined solar and energy storage pilots,"""solar and energy storage pilots""","The expansion of combined solar and energy storage pilots involves utilizing solar power generation in conjunction with energy storage technologies. This solution helps enhance energy resilience, allowing communities to maintain energy availability during peak demand or outages caused by climatic disturbances."
"Minneapolis, MN, USA",26,Not categorized (ensure taxonomy match),Reducing costs for consumers and emissions,Smarter appliances with real-time pricing,"""real-time pricing,"" ""smarter appliances""","The implementation of real-time pricing combined with smarter appliances allows consumers to adjust their energy usage according to real-time electricity prices, effectively reducing costs and emissions. This technological integration enables adaptive energy management in response to changing market conditions, which is crucial for climate resilience."
"Minneapolis, MN, USA",28,Not categorized (ensure taxonomy match),Energy efficiency in multifamily buildings,Minnesota Energy Scorecards program,Energy benchmarking systems (specific technology not detailed but implied),"The Minnesota Energy Scorecards program promotes energy benchmarking for multifamily buildings. This involves using a systematic approach to measure and report energy use, which relies on technical components for data collection and analysis to improve energy efficiency."
"Minneapolis, MN, USA",36,Not categorized (ensure taxonomy match),Increasing electric vehicle adoption and reducing emissions,Electric vehicle charging infrastructure,Electric vehicle charging stations,"The solution includes exploring regulatory incentives for increasing the electric vehicle charging infrastructure, along with providing charging stations at City-owned facilities. This technology enables the support of electric vehicle usage, which contributes to reduced greenhouse gas emissions from transportation."
"Minneapolis, MN, USA",38,Not categorized (ensure taxonomy match),Traffic-related emissions and safety concerns,Autonomous vehicle testing on public roadways,Autonomous vehicles,"The encouragement of the ""testing of autonomous vehicles on public roadways"" aims to reduce the total number of vehicles on the road, which can improve fuel efficiency and enhance safety for cyclists and pedestrians. This solution leverages the technology of autonomous vehicles to address climate-related impacts."
"Philadelphia, Pennsylvania, USA",26,Not categorized (ensure taxonomy match),Emissions from private vehicles,Electric Vehicle Charging Stations,Electric vehicle charging stations,"The plan includes the installation of EV charging stations throughout Philadelphia, which serves as a technological infrastructure aimed at supporting the shift to electric vehicles. This infrastructure is vital for promoting the adoption of EVs by ensuring that there are accessible charging points in the city."
"Philadelphia, Pennsylvania, USA",27,Not categorized (ensure taxonomy match),"Transportation emissions and the need for efficient, low-carbon transit options.",Indego Bike Network,"Digital platform, electric-assisted bicycles, bike share stations.","The Indego Bike Network incorporates technology through a bike share program that utilizes a digital platform to manage over 130 bike stations and 1,400 bikes, allowing users to locate and rent bikes efficiently. The program also includes the provision of electric-assisted bicycles, enhancing the reliability of bike transit for daily transportation needs."
"Philadelphia, Pennsylvania, USA",28,Not categorized (ensure taxonomy match),Municipal food waste reduction,Food Connect app,Food Connect app,"The Food Connect app is utilized to facilitate the diversion of organic waste to composting and donation efforts. This digital platform aids in the coordination and management of food waste, enabling organizations to offer surplus food for donation more efficiently and support food recovery initiatives."
"Philadelphia, Pennsylvania, USA",31,Not categorized (ensure taxonomy match),Fuel consumption and emissions related to waste collection,PickupPHL,GPS tracking system,"PickupPHL utilizes GPS tracking to monitor trucks in near real-time. This technology enables route optimization, which helps reduce fuel consumption and emissions during waste collection operations."
"Philadelphia, Pennsylvania, USA",40,Not categorized (ensure taxonomy match),High energy consumption in large buildings,Building Energy Performance Program,"Compliance tracking systems, energy performance assessment tools","The program is focused on the application of a compliance system for buildings over 25,000 square feet. It utilizes technology to ensure that ""75 percent of eligible buildings comply,"" leading to monitored energy savings and performance improvements. This demonstrates the incorporation of digital compliance tracking and performance evaluation systems."
"Calgary, Alberta, Canada",48,Not categorized (ensure taxonomy match),Improving communication and data transmission to support climate resilience efforts.,5G Digital Infrastructure Strategy,"5G technology, small cell antennas, Industrial Internet of Things (IIoT), field sensors, autonomous vehicles, connected vehicles, intelligent traffic systems.","The solution emphasizes the deployment of a digital infrastructure strategy that includes the installation of thousands of small cell antennas for 5G technology. This digital infrastructure is designed to improve the ability to move information quickly and reliably, which can enhance various technological innovations like the Industrial Internet of Things (IIoT), autonomous, and connected vehicles, while facilitating intelligent traffic systems that can adapt to climate conditions and urban needs. The strategy involves overcoming deployment barriers and integrating new standards and processes into municipal growth planning."
"Calgary, Alberta, Canada",56,Not categorized (ensure taxonomy match),Testing and innovation of aerial technologies for urban applications related to climate resilience.,Point Trotter Autonomous Systems Drone Flight Area,"Drones, autonomous vehicles, digital systems, data infrastructure.","The Point Trotter project is a designated area for the testing of drones and autonomous vehicles, providing a secure environment for technological innovation. The City of Calgary is facilitating the integration of various technologies by allowing access to ""infrastructure (physical, digital and data)"" in a real-life setting, which can support advancements in climate adaptation strategies. This initiative encourages entrepreneurs to develop new technologies that may address challenges posed by climate change."
"Calgary, Alberta, Canada",64,Not categorized (ensure taxonomy match),Inclusivity and accessibility challenges for people with disabilities in municipal governance,Accessible council chambers,"Digital screens, captioning software","This solution incorporates digital technology to enhance participation of people with disabilities in the Council Chamber by facilitating communication through two new digital screens that allow for captioning. The captioning displays typed words that are being said, aiding individuals with hearing loss to follow discussions during council meetings."
"Calgary, Alberta, Canada",95,Not categorized (ensure taxonomy match),Management and Valuation of Natural Assets,Integration of Natural Infrastructure into Corporate Processes,Land Inventory Data Application (LInDA),"The solution focuses on embedding a natural asset inventory into corporate land and asset management processes, which involves the development and use of a Land Inventory Data Application (LInDA). This application will support the identification and integration of natural assets, enabling better financial administration and reporting over the long-term. It employs data management technology to create a structured approach to valuing and monitoring natural infrastructure as part of the city's asset management."
"Calgary, Alberta, Canada",104,Not categorized (ensure taxonomy match),Infrastructure resilience in the face of climate shocks and stresses,Dark fibre,Dark fibre networks,"The investment in ""dark fibre"" aims to improve the digital infrastructure necessary for communication, which can support real-time data exchange and coordination during climate-related incidents. This technology enables a connected infrastructure that enhances the City’s capacity to respond to climate challenges better."
"Calgary, Alberta, Canada",109,Not categorized (ensure taxonomy match),Infrastructure recovery and resilience post-flood,Municipal Infrastructure Recovery Program (MIRP),"Reporting framework, online map (digital platform)","The MIRP was established to track, monitor, and report the progress of infrastructure recovery after the 2013 flood disaster. It included a ""reporting framework to track project progress, funding source and budget,"" which relied on digital systems to provide monthly updates. Additionally, an ""online map"" was utilized to show every MIRP project, their recovery progress, and costs, enabling public access to recovery information and improving transparency."
"Calgary, Alberta, Canada",110,Not categorized (ensure taxonomy match),Flood adaptation and mitigation,Facility and infrastructure sensors,"Facility sensors, infrastructure sensors","The City of Calgary is looking to incorporate “facility and infrastructure sensors” to monitor and manage public infrastructure in the face of climate-related stresses, specifically focusing on flood risks. These sensors would provide real-time data, which can be critical for timely decision-making and response strategies to enhance resilience against flooding."
"Boulder, Colorado",23,Not categorized (ensure taxonomy match),Soil carbon sequestration and its quantification,Standardizing soil carbon monitoring systems,Soil carbon monitoring systems,The city is reviewing best available systems for standardizing soil carbon monitoring across various city projects focused on soil-based carbon sequestration. This technological approach is aimed at improving the accuracy and efficiency of monitoring carbon levels in the soil.
"Boulder, Colorado",29,Not categorized (ensure taxonomy match),Raising awareness and educating the public on climate and energy issues,Monthly energy blog on city newsroom,"Blogging platform, social media tools","The city's online newsroom utilizes blogging software to publish informational posts related to climate and energy topics. This technology enables easy sharing via social media and newsletters, enhancing community engagement and knowledge on climate issues."
"Boulder, Colorado",30,Not categorized (ensure taxonomy match),Community engagement and feedback on climate action strategies,Be Heard Boulder,Web-based engagement platform,"The city will leverage its ""web-based engagement platform"" to create an online community forum for collecting feedback on updated climate goals and targets, enhancing collaboration and communication among community members regarding climate actions."
"Boulder, Colorado, USA",25,Not categorized (ensure taxonomy match),Resilience building and adaptation to climate impacts,100RC Platform of Partners,"Geospatial technical solutions, monitoring systems, data analytics tools.","The 100RC Platform of Partners provides member cities, including Boulder, with access to ""a curated suite of donated tools and services"" to aid in resilience-building activities. This includes partnerships with private, public, academic, and non-profit sectors which offer specialized technical solutions, allowing cities to capture, measure, analyze, monitor, and share both built and environmental information. Such technology-enabled services enhance the capacity of cities to respond to climate risks effectively."
"Boulder, Colorado, USA",38,Not categorized (ensure taxonomy match),Complexity and abstraction in understanding climate-related data,Data Visualization Systems,"Enhanced computational power, big data, visual representation systems","Boulder will develop data visualization systems through partnerships with artists, media professionals, scientists, and librarians. These systems will leverage ""enhanced computational power, big data and visual representation systems"" to convert complex concepts into clear visual forms. This approach aims to make scientific and citizen science data more accessible and interpretable for community education and mobilization."
"Boulder, Colorado, USA",39,Not categorized (ensure taxonomy match),Resilience to natural hazards and the impacts of climate change,URBoulder Tech Challenge,Open-source technology,"The URBoulder Tech Challenge involved the use of ""open-source technology to improve resilience in Boulder and strengthen community engagement."" This initiative aimed to identify technological gaps within the resilience landscape and foster innovative solutions to enhance the community's capacity to adapt to climate change challenges."
"Boulder, Colorado, USA",44,Not categorized (ensure taxonomy match),Vulnerability and interdependencies of core life-safety infrastructure during climate crises,Community Resilience Centers,"Small-scale infrastructure systems, on-site battery storage, neighborhood microgrid development, decentralized energy utility models.","The proposed community resilience centers will contain ""small-scale or compartmentalized infrastructure systems that can operate independent of the larger utility system"" to maintain essential services during wide-scale disruptions. This includes developing ""neighborhood-based load balancing through on-site battery storage, neighborhood microgrid development or other emerging decentralized energy utility models,"" which explicitly leverage technology to enhance resilience against climate-related events."
"Boulder, Colorado, USA",46,Not categorized (ensure taxonomy match),"Urban forest management and impact of pests (e.g., Emerald Ash Borer)",Urban Tree Canopy Mapping,"Multi-spectral satellite imagery, eCognition software, mapping systems","The City of Boulder partnered with Trimble and DigitalGlobe to improve urban forest management by using high-resolution multi-spectral satellite imagery. DigitalGlobe provided the necessary imagery to ""extract, map, and measure the trees throughout the city,"" while Trimble offered training on the eCognition software, which is crucial for mapping changes over time. This technology-enabled solution helps prioritize future management plans and track changes in green infrastructure."
"Tulsa, Oklahoma",53,Not categorized (ensure taxonomy match),Community engagement and communication for racial reconciliation,Hustle Text Messaging Platform,Hustle (peer-to-peer text messaging platform),"The Mayor’s Office of Resilience and Equity will use ""Hustle, a scalable, peer to peer text messaging platform,"" to effectively communicate with Tulsans about race reconciliation conversations and city-wide events. This technology will enable employees to send reminder texts to increase attendance, conduct pre- and post-event surveys, and measure event success, thereby empowering the community's engagement in conversations for racial equity."
"Tulsa, Oklahoma",79,Not categorized (ensure taxonomy match),Health access and the social determinants of health linked to climate vulnerabilities,MyHealth Access Network’s Oklahoma’s Route 66 AHC program,"Data exchange technology, electronic referral systems","The Oklahoma’s Route 66 AHC program utilizes technology to ""connect and securely exchange data and enable electronic referrals to social service agencies and other providers when needed."" This technology facilitates the screening of over 75,000 Oklahomans for social needs and helps improve access to healthcare services amidst challenges posed by climate impacts on health."
"Tulsa, Oklahoma",80,Not categorized (ensure taxonomy match),Disruption in transportation and mobility during adverse weather events,Utilize Emergency Mobility Plan technology,No technology-enabled solutions found,"This solution involves the implementation of specific technologies associated with an Emergency Mobility Plan intended to enhance the ability of the community to respond to and recover from adverse climatic impacts. The use of this technology is aimed at ensuring effective mobility during emergencies, which is crucial for both public safety and continuity of services."
"Tulsa, Oklahoma",83,Not categorized (ensure taxonomy match),Communication during emergencies and natural disasters,Emergency Mobility communication technology,"Mobile app (""Tulsa Ready""), real-time notifications system, emergency information communication technology.","The Emergency Mobility communication technology is designed to notify residents of city-wide emergencies, including natural disasters and climate-change impacts. It aims to prepare mobility systems by providing real-time information about alternative transportation routes, safe locations, and necessary actions. The existing ""Tulsa Ready"" app will serve as a platform through which this technology can expand its capability to deliver critical emergency and disaster information."
"Nashville, Tennessee, USA",4,Not categorized (ensure taxonomy match),Increased flooding and extreme weather events,Temperate: Climate Adaptation Planning Tool,"""Temperate: Climate Adaptation Planning Tool"" (implied software platform for climate adaptation).","The ""Temperate: Climate Adaptation Planning Tool"" is an online platform that assists cities in planning for climate adaptation challenges, specifically targeting the increased number of intense storms and flooding risks that Nashville is projected to face between 2025 and 2035. The technological aspects likely involve data analysis and modeling to assist in predicting and visualizing climate risks, although detailed functionalities are not specified in the content."
"Nashville, Tennessee, USA",6,Not categorized (ensure taxonomy match),Mitigating climate change through effective policy and public engagement,Interactive tool for visualizing scenarios,"Digital platform for scenario visualization, software for policy analysis and public communication.","The solution involves developing an ""interactive tool to visualize and compare different possible scenarios for achieving the City’s mitigation targets."" This tool is designed to be useful for policy analysis within the Metro Government and for communicating with the public about trade-offs and constraints in meeting climate targets. It will include full documentation about its assumptions and methods to ensure transparency."
"Nashville, Tennessee, USA",20,Not categorized (ensure taxonomy match),Increased energy consumption leading to higher greenhouse gas emissions,Digital self-service web portal,Digital web portal,"The digital self-service web portal will enable customers to view their detailed energy usage, compare usage against neighbors, participate in an energy challenge, track behavior changes, and receive energy alerts. This technological solution empowers users to monitor and optimize their energy consumption, encouraging energy efficiency and reducing emissions."
"Nashville, Tennessee, USA",29,Not categorized (ensure taxonomy match),Lack of public awareness of clean energy,Implementation of solar arrays at iconic buildings,Solar energy systems,The initiative aims to install solar arrays on well-known buildings in Nashville to serve as demonstration projects. This approach not only generates renewable energy but also raises public awareness about sustainability through visible architectural installations.
"Nashville, Tennessee, USA",33,Not categorized (ensure taxonomy match),Energy consumption and inefficiency,Efficiency Web Portal,"""digital self-service web portal,"" ""online household energy dashboard""","This solution involves providing a digital self-service web portal for customers that allows them to view their detailed energy usage, compare their usage against neighbors, participate in energy challenges, track behavior changes, and receive energy alerts. The online household energy dashboard enhances consumer awareness and empowers them to make informed changes to reduce energy consumption."
"Nashville, Tennessee, USA",38,Not categorized (ensure taxonomy match),Emissions generated by publicly managed lands,Conversion of Metro turf-maintenance equipment,"Turf-maintenance equipment, propane energy sources, electric-energy sources.","The proposal involves ""begin[ning] conversion of Metro turf-maintenance equipment to propane- and electric-energy sources."" This transition uses technology to reduce emissions related to turf maintenance, contributing to overall emissions mitigation efforts."
"Nashville, Tennessee, USA",39,Not categorized (ensure taxonomy match),High energy consumption during peak periods,Demand Response Program,Demand Response technology/platform,"The implementation of a Metro-wide Demand Response program makes use of technology to reduce energy usage during peak hot and cold months, which helps in lowering energy bills and GHG emissions. This would involve a technology-enabled platform to manage the demand-side response."
"Nashville, Tennessee, USA",41,Not categorized (ensure taxonomy match),Energy efficiency in multifamily housing,Individual unit meters for efficiency tracking,"""individual unit meters""","Installing individual unit meters provides a technological framework to monitor and analyze energy consumption at the unit level, supporting targeted efficiency improvements and resilience to extreme temperature events."
"Nashville, Tennessee, USA",50,Not categorized (ensure taxonomy match),Expanding access to public transit,Advanced Fare Collection System,"Mobile payment systems, integration with mobility vendors","The implementation of an advanced fare collection system involves ""completing the implementation of the mobile payment system"" and collaborating with other mobility providers. This technology aims to create a seamless payment experience for users, which can help increase public transit usage—a key factor in reducing carbon emissions and enhancing urban sustainability."
